category,title,content
Spor,Fenerbahçe (kadın voleybol takımı) 1973-74 sezonu,"Fenerbahçe (kadın voleybol takımı) 1973-74 sezonunda İstanbul Ligi'nde ikinci, Türkiye Şampiyonası'nda üçüncü oldu. İlk kez katıldığı Avrupa Kupa Galipleri Kupası'nda ise çeyrek finale yükseldi."
Spor,1975-76 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1975-76 sezonu, Türkiye Basketbol Ligi'nin 10. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ver Adana) 12 takımın katıldığı lig deplasmanlı lig usulüne göre oynandı. 22 maç sonunda 60 puan toplayan Beşiktaş şampiyon olurken, ligin son 2 sırasında yer alan 26 puanlı Ankaragücü ve 21 puanlı Kadıköyspor küme düştü."
Spor,1975-76 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1975-76 sezonu, Efeler Ligi'nin 6. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 12 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı. Ligde 22 maç sonunda 43 puan toplayan Eczacıbaşı şampiyon olurken, 23 puan toplayan Petrolofisi küme düştü."
Spor,1976-77 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1976-77 sezonu, Efeler Ligi'nin 7. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 13 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı. Ligde 24 maç sonunda 47 puan toplayan Büyükdere Boronkay şampiyon olurken, 25 puan toplayan Bursaspor küme düştü."
Spor,1976 Kış Olimpiyatları'nda Türkiye,"Türkiye, Avusturya'nın Innsbruck kentinde yapılan 1976 Kış Olimpiyatları'na dokuz sporcu ile katıldı."
Spor,1976 Yaz Olimpiyatları'nda Türkiye,Türkiye 1976 olimpiyat oyunlarında madalya alamamıştır.
Spor,1977 Avrupa Güreş Şampiyonası,"1977 Avrupa Güreş Şampiyonası, 26-29 Mayıs günleri arasında, Türkiye'nin Bursa şehrinde düzenlenen Avrupa Güreş Şampiyonası etkinliğidir. Erkekler Grekoromen ve serbest müsabakalarının yapıldığı şampiyonada, takım sıralaması baz alındığında Grekoromen'de Romanya, serbestte ise Sovyetler Birliği ilk sırada yer aldı. Bireysel anlamda ise 8 altın, 7 gümüş ve 4 bronz madalyayla Sovyetler Birliği birinci sırada yer alırken onu 3 altın, 6 gümüş ve 1 bronz madalya kazanan Bulgaristan ile 3 altın, 2 gümüş ve 5 bronz madalyalı Romanya izledi.[1]"
Spor,1976-77 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1976-77 sezonu, Efeler Ligi'nin 7. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 13 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı. Ligde 24 maç sonunda 47 puan toplayan Büyükdere Boronkay şampiyon olurken, 25 puan toplayan Bursaspor küme düştü."
Spor,1977-78 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1977-78 sezonu, Türkiye Basketbol Ligi'nin 12. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 12 takımın katıldığı lig deplasmanlı lig usulüne göre oynandı. 22 maç sonunda 62 puan toplayan Eczacıbaşı şampiyon olurken, ligin son 2 sırasında yer alan 28 puanlı Muhafızgücü ve 26 puanlı İTÜ küme düştü."
Spor,1978-79 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1978-79 Sezonu, Türkiye Basketbol Ligi'nin 13. sezonu olan 1978-79 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1977-78 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1977-78 sezonu, Efeler Ligi'nin 8. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 14 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı. Ligde 26 maç sonunda 47 puan toplayan Eczacıbaşı şampiyon olurken, 25 puan toplayan Göztepe ve hiçbir maça çıkmayan Kurtuluşspor küme düştü."
Spor,1978-79 Türkiye Erkekler Voleybol Ligi,"Türkiye Deplasmanlı Erkekler Voleybol Ligi 1978-79 sezonu, Efeler Ligi'nin 9. sezonudur. Dört şehirden (İstanbul, Ankara, İzmir ve Bursa) 14 takımın katıldığı lig, deplasmanlı lig usulüne göre oynandı. Ligde 26 maç sonunda 50 puan toplayan Eczacıbaşı şampiyon olurken, 29 puan toplayan İETT ve 26 puan toplayan Denizgücü küme düştü."
Spor,1979 Akdeniz Oyunları'nda Türkiye,"Türkiye, 15-29 Eylül tarihleri arasında Split'te düzenlenen 1979 Akdeniz Oyunları'na katıldı. Split'te mücadele eden 188 Türk sporcu, beşi altın toplam 24 madalya ile, madalya sıralamasının altıncı basamağında yer aldı."
Spor,1978-79 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1978-79 Sezonu, Türkiye Basketbol Ligi'nin 13. sezonu olan 1978-79 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,1979-80 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1979-80 sezonu, Türkiye Basketbol Ligi'nin 14. sezonu olan 1979-80 sezonunun sonuçları ve istatistikleri göstermektedir."
Spor,Fenerbahçe Masa Tenisi Şubesi 1979-80 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1979-80 sezonunda İstanbul ve Türkiye ikincisi olurken, iki Teşvik Turnuvası birinciliği sonucunda katıldığı Federasyon Kupası ve Gençlik ve Spor Bakanlığı Kupası'nda şampiyon oldu."
